movieId,rating_count,average_rating,title,genres,year,clean_title
1,215,3.9209302325581397,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995.0,Toy Story
2,110,3.4318181818181817,Jumanji (1995),Adventure|Children|Fantasy,1995.0,Jumanji
3,52,3.2596153846153846,Grumpier Old Men (1995),Comedy|Romance,1995.0,Grumpier Old Men
4,7,2.357142857142857,Waiting to Exhale (1995),Comedy|Drama|Romance,1995.0,Waiting to Exhale
5,49,3.0714285714285716,Father of the Bride Part II (1995),Comedy,1995.0,Father of the Bride Part II
6,102,3.946078431372549,Heat (1995),Action|Crime|Thriller,1995.0,Heat
7,54,3.185185185185185,Sabrina (1995),Comedy|Romance,1995.0,Sabrina
8,8,2.875,Tom and Huck (1995),Adventure|Children,1995.0,Tom and Huck
9,16,3.125,Sudden Death (1995),Action,1995.0,Sudden Death
10,132,3.496212121212121,GoldenEye (1995),Action|Adventure|Thriller,1995.0,GoldenEye
11,70,3.6714285714285713,"American President, The (1995)",Comedy|Drama|Romance,1995.0,"American President, The"
12,19,2.4210526315789473,Dracula: Dead and Loving It (1995),Comedy|Horror,1995.0,Dracula: Dead and Loving It
13,8,3.125,Balto (1995),Adventure|Animation|Children,1995.0,Balto
14,18,3.8333333333333335,Nixon (1995),Drama,1995.0,Nixon
15,13,3.0,Cutthroat Island (1995),Action|Adventure|Romance,1995.0,Cutthroat Island
16,82,3.926829268292683,Casino (1995),Crime|Drama,1995.0,Casino
17,67,3.7761194029850746,Sense and Sensibility (1995),Drama|Romance,1995.0,Sense and Sensibility
18,20,3.7,Four Rooms (1995),Comedy,1995.0,Four Rooms
19,88,2.727272727272727,Ace Ventura: When Nature Calls (1995),Comedy,1995.0,Ace Ventura: When Nature Calls
20,15,2.5,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,1995.0,Money Train
21,89,3.49438202247191,Get Shorty (1995),Comedy|Crime|Thriller,1995.0,Get Shorty
22,36,3.2222222222222223,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1995.0,Copycat
23,16,3.125,Assassins (1995),Action|Crime|Thriller,1995.0,Assassins
24,28,3.125,Powder (1995),Drama|Sci-Fi,1995.0,Powder
25,76,3.625,Leaving Las Vegas (1995),Drama|Romance,1995.0,Leaving Las Vegas
26,13,3.5,Othello (1995),Drama,1995.0,Othello
27,9,3.3333333333333335,Now and Then (1995),Children|Drama,1995.0,Now and Then
28,11,4.2272727272727275,Persuasion (1995),Drama|Romance,1995.0,Persuasion
29,38,4.0131578947368425,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995.0,"City of Lost Children, The (Cité des enfants perdus, La)"
30,3,3.0,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,1995.0,Shanghai Triad (Yao a yao yao dao waipo qiao)
31,38,3.1842105263157894,Dangerous Minds (1995),Drama,1995.0,Dangerous Minds
32,177,3.983050847457627,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,1995.0,Twelve Monkeys (a.k.a. 12 Monkeys)
34,128,3.65234375,Babe (1995),Children|Drama,1995.0,Babe
36,67,3.8358208955223883,Dead Man Walking (1995),Crime|Drama,1995.0,Dead Man Walking
38,4,2.125,It Takes Two (1995),Children|Comedy,1995.0,It Takes Two
39,104,3.293269230769231,Clueless (1995),Comedy|Romance,1995.0,Clueless
40,2,4.25,"Cry, the Beloved Country (1995)",Drama,1995.0,"Cry, the Beloved Country"
41,15,3.7,Richard III (1995),Drama|War,1995.0,Richard III
42,7,3.0,Dead Presidents (1995),Action|Crime|Drama,1995.0,Dead Presidents
43,8,3.1875,Restoration (1995),Drama,1995.0,Restoration
44,46,2.5434782608695654,Mortal Kombat (1995),Action|Adventure|Fantasy,1995.0,Mortal Kombat
45,32,3.3125,To Die For (1995),Comedy|Drama|Thriller,1995.0,To Die For
46,15,3.066666666666667,How to Make an American Quilt (1995),Drama|Romance,1995.0,How to Make an American Quilt
47,203,3.9753694581280787,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,1995.0,Seven (a.k.a. Se7en)
48,68,3.1470588235294117,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,1995.0,Pocahontas
49,1,3.0,When Night Is Falling (1995),Drama|Romance,1995.0,When Night Is Falling
50,204,4.237745098039215,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,1995.0,"Usual Suspects, The"
52,28,3.4642857142857144,Mighty Aphrodite (1995),Comedy|Drama|Romance,1995.0,Mighty Aphrodite
53,2,5.0,Lamerica (1994),Adventure|Drama,1994.0,Lamerica
54,3,2.3333333333333335,"Big Green, The (1995)",Children|Comedy,1995.0,"Big Green, The"
55,1,4.0,Georgia (1995),Drama,1995.0,Georgia
57,8,3.0625,Home for the Holidays (1995),Drama,1995.0,Home for the Holidays
58,37,4.027027027027027,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,1994.0,"Postman, The (Postino, Il)"
60,34,3.235294117647059,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,1995.0,"Indian in the Cupboard, The"
61,6,3.75,Eye for an Eye (1996),Drama|Thriller,1996.0,Eye for an Eye
62,80,3.70625,Mr. Holland's Opus (1995),Drama,1995.0,Mr. Holland's Opus
63,7,2.7142857142857144,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,1996.0,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
64,5,2.2,Two if by Sea (1996),Comedy|Romance,1996.0,Two if by Sea
65,31,2.532258064516129,Bio-Dome (1996),Comedy,1996.0,Bio-Dome
66,9,2.5,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,1996.0,Lawnmower Man 2: Beyond Cyberspace
68,5,3.4,French Twist (Gazon maudit) (1995),Comedy|Romance,1995.0,French Twist (Gazon maudit)
69,20,3.775,Friday (1995),Comedy,1995.0,Friday
70,55,3.5090909090909093,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,1996.0,From Dusk Till Dawn
71,5,1.7,Fair Game (1995),Action,1995.0,Fair Game
72,7,3.2142857142857144,Kicking and Screaming (1995),Comedy|Drama,1995.0,Kicking and Screaming
73,13,3.4615384615384617,"Misérables, Les (1995)",Drama|War,1995.0,"Misérables, Les"
74,8,4.0,Bed of Roses (1996),Drama|Romance,1996.0,Bed of Roses
75,5,2.2,Big Bully (1996),Comedy|Drama,1996.0,Big Bully
76,15,3.4,Screamers (1995),Action|Sci-Fi|Thriller,1995.0,Screamers
77,1,4.0,Nico Icon (1995),Documentary,1995.0,Nico Icon
78,3,3.3333333333333335,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,1995.0,"Crossing Guard, The"
79,17,2.764705882352941,"Juror, The (1996)",Drama|Thriller,1996.0,"Juror, The"
80,2,4.0,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,1995.0,"White Balloon, The (Badkonake sefid)"
81,14,3.107142857142857,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,1995.0,Things to Do in Denver When You're Dead
82,8,3.875,Antonia's Line (Antonia) (1995),Comedy|Drama,1995.0,Antonia's Line (Antonia)
83,1,3.0,Once Upon a Time... When We Were Colored (1995),Drama|Romance,1995.0,Once Upon a Time... When We Were Colored
85,7,3.857142857142857,Angels and Insects (1995),Drama|Romance,1995.0,Angels and Insects
86,15,3.966666666666667,White Squall (1996),Action|Adventure|Drama,1996.0,White Squall
87,7,2.5,Dunston Checks In (1996),Children|Comedy,1996.0,Dunston Checks In
88,16,3.15625,Black Sheep (1996),Comedy,1996.0,Black Sheep
89,10,3.25,Nick of Time (1995),Action|Thriller,1995.0,Nick of Time
92,8,2.625,Mary Reilly (1996),Drama|Horror|Thriller,1996.0,Mary Reilly
93,9,2.8333333333333335,Vampire in Brooklyn (1995),Comedy|Horror|Romance,1995.0,Vampire in Brooklyn
94,10,3.95,Beautiful Girls (1996),Comedy|Drama|Romance,1996.0,Beautiful Girls
95,84,3.0238095238095237,Broken Arrow (1996),Action|Adventure|Thriller,1996.0,Broken Arrow
96,1,3.5,In the Bleak Midwinter (1995),Comedy|Drama,1995.0,In the Bleak Midwinter
97,10,3.9,"Hate (Haine, La) (1995)",Crime|Drama,1995.0,"Hate (Haine, La)"
99,2,5.0,Heidi Fleiss: Hollywood Madam (1995),Documentary,1995.0,Heidi Fleiss: Hollywood Madam
100,14,2.7857142857142856,City Hall (1996),Drama|Thriller,1996.0,City Hall
101,23,3.782608695652174,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,1996.0,Bottle Rocket
102,5,2.4,Mr. Wrong (1996),Comedy,1996.0,Mr. Wrong
103,3,3.0,Unforgettable (1996),Mystery|Sci-Fi|Thriller,1996.0,Unforgettable
104,99,3.4393939393939394,Happy Gilmore (1996),Comedy,1996.0,Happy Gilmore
105,23,3.282608695652174,"Bridges of Madison County, The (1995)",Drama|Romance,1995.0,"Bridges of Madison County, The"
106,1,4.0,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,1994.0,Nobody Loves Me (Keiner liebt mich)
107,26,3.326923076923077,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,1996.0,Muppet Treasure Island
108,1,4.0,Catwalk (1996),Documentary,1996.0,Catwalk
110,237,4.031645569620253,Braveheart (1995),Action|Drama|War,1995.0,Braveheart
111,104,4.105769230769231,Taxi Driver (1976),Crime|Drama|Thriller,1976.0,Taxi Driver
112,46,3.5434782608695654,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,1995.0,Rumble in the Bronx (Hont faan kui)
113,3,3.3333333333333335,Before and After (1996),Drama|Mystery,1996.0,Before and After
116,5,3.9,Anne Frank Remembered (1995),Documentary,1995.0,Anne Frank Remembered
117,1,3.0,"Young Poisoner's Handbook, The (1995)",Crime|Drama,1995.0,"Young Poisoner's Handbook, The"
118,2,2.5,If Lucy Fell (1996),Comedy|Romance,1996.0,If Lucy Fell
119,2,3.0,"Steal Big, Steal Little (1995)",Comedy,1995.0,"Steal Big, Steal Little"
121,2,4.0,"Boys of St. Vincent, The (1992)",Drama,1992.0,"Boys of St. Vincent, The"
122,16,2.65625,Boomerang (1992),Comedy|Romance,1992.0,Boomerang
123,4,4.375,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,1994.0,Chungking Express (Chung Hing sam lam)
125,12,3.5833333333333335,Flirting With Disaster (1996),Comedy,1996.0,Flirting With Disaster
126,7,2.0,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,1994.0,"NeverEnding Story III, The"
128,1,3.0,Jupiter's Wife (1994),Documentary,1994.0,Jupiter's Wife
129,1,2.0,Pie in the Sky (1996),Comedy|Romance,1996.0,Pie in the Sky
132,6,2.8333333333333335,Jade (1995),Thriller,1995.0,Jade
135,31,2.9516129032258065,Down Periscope (1996),Comedy,1996.0,Down Periscope
137,1,3.0,Man of the Year (1995),Documentary,1995.0,Man of the Year
140,16,3.5,Up Close and Personal (1996),Drama|Romance,1996.0,Up Close and Personal
141,86,3.494186046511628,"Birdcage, The (1996)",Comedy,1996.0,"Birdcage, The"
144,12,3.3333333333333335,"Brothers McMullen, The (1995)",Comedy,1995.0,"Brothers McMullen, The"
145,51,3.2450980392156863,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,1995.0,Bad Boys
146,3,3.3333333333333335,"Amazing Panda Adventure, The (1995)",Adventure|Children,1995.0,"Amazing Panda Adventure, The"
147,15,3.466666666666667,"Basketball Diaries, The (1995)",Drama,1995.0,"Basketball Diaries, The"
148,1,5.0,"Awfully Big Adventure, An (1995)",Drama,1995.0,"Awfully Big Adventure, An"
149,1,2.0,Amateur (1994),Crime|Drama|Thriller,1994.0,Amateur
150,201,3.845771144278607,Apollo 13 (1995),Adventure|Drama|IMAX,1995.0,Apollo 13
151,44,3.5454545454545454,Rob Roy (1995),Action|Drama|Romance|War,1995.0,Rob Roy
152,2,1.5,"Addiction, The (1995)",Drama|Horror,1995.0,"Addiction, The"
153,137,2.9160583941605838,Batman Forever (1995),Action|Adventure|Comedy|Crime,1995.0,Batman Forever
154,12,3.875,Beauty of the Day (Belle de jour) (1967),Drama,1967.0,Beauty of the Day (Belle de jour)
155,6,2.4166666666666665,Beyond Rangoon (1995),Adventure|Drama|War,1995.0,Beyond Rangoon
156,3,3.3333333333333335,Blue in the Face (1995),Comedy|Drama,1995.0,Blue in the Face
157,11,2.8636363636363638,Canadian Bacon (1995),Comedy|War,1995.0,Canadian Bacon
158,62,2.806451612903226,Casper (1995),Adventure|Children,1995.0,Casper
159,14,2.892857142857143,Clockers (1995),Crime|Drama|Mystery,1995.0,Clockers
